(stop - start) * cost.,(Dừng - Bắt đầu) * Chi phí.
$,$.
A brief description of the lab,Một mô tả ngắn gọn về lab
About,Về
Accept,Chấp nhận
Accept Bribe?,Chấp nhận hối lộ?
Accept this bribe?,Chấp nhận hối lộ này?
Accepted,Đã được chấp nhận
Accepted / In Jail,Chấp nhận / trong tù
Account Locked!,Tài khoản bị khóa!
Account Password,Mật khẩu tài khoản
Active Bots,Bot hoạt động
Add,cộng
Add,cộng
add,cộng
Add a Category for labes.,Thêm một danh mục cho Labes.
Add Flags,Thêm flag
Add Hint,Thêm Gợi ý
Add IP address,Thêm địa chỉ IP
Add IP Address,Thêm địa chỉ IP
add some,điền thêm
Add Source Code,Thêm mã nguồn
Add Source Code to Market,Thêm mã nguồn vào thị trường
Add to Market,Thêm vào thị trường
Address,Địa chỉ nhà
Admin,quản trị viên
Admin Home,Quản trị viên
Admin Message,Tin nhắn quản trị viên
Admin Notes,Ghi chú quản trị viên.
Administrator Panel,Quản trị viên
Admins,Quản trị viên.
All Notifications,Tất cả các thông báo
and logos in export.,và logo trong xuất khẩu.
and so on,và như thế
Apply penalty on attempt,Áp dụng hình phạt về nỗ lực
Are you a Cylon?,Bạn có phải là một cylon?
Are You Elite,Bạn có elite.
Are you sure you want to buy this code?,Bạn có chắc chắn muốn mua mã này?
Are you sure you want to delete this lab?,Bạn có chắc chắn muốn xóa lab này?
Are you sure you want to delete this category?,Bạn có chắc chắn muốn xóa danh mục này?
Are you sure you want to delete this corporation?,Bạn có chắc chắn muốn xóa tổ chức này?
Are you sure you want to delete this file?,Bạn có chắc chắn muốn xóa tập tin này?
Are you sure you want to delete this flag?,Bạn có chắc chắn muốn xóa flag này?
Are you sure you want to delete this game level?,Bạn có chắc chắn muốn xóa cấp độ trò chơi này?
Are you sure you want to delete this hint?,Bạn có chắc chắn muốn xóa gợi ý này?
Are you sure you want to delete this IP address?,Bạn có chắc chắn muốn xóa địa chỉ IP này?
Are you sure you want to delete this source code?,Bạn có chắc chắn muốn xóa mã nguồn này?
Are you sure you want to delete this user?,Bạn có chắc chắn muốn xóa người dùng này?
Are you sure you want to delete?,Bạn có chắc chắn muốn xóa?
Arrest Player,Người chơi bắt giữ
attempt,nỗ lực
attempt and continue until the,cố gắng và tiếp tục cho đến khi
Attempts,Cố gắng
Authenticate,Xác thực.
Authentication Failure,Lỗi xác thực
Authentication Required,Yêu cầu xác thực
Automatic Ban,Ban tự động
Avatar,Avatar
Backup/Restore,Phục hồi dữ liệu đã lưu
Ban IP Address,Lệnh cấm ip
Bank Account,Tài khoản ngân hàng
Bank Account Balance,Số dư tài khoản ngân hàng
Bank Hash Algorithm,Thuật toán băm ngân hàng
Bank Password,Mật khẩu ngân hàng
Bank Password Hash,Mật khẩu ngân hàng HASH.
Bank Password Length,Độ dài mật khẩu ngân hàng
Banking System,Hệ thống ngân hàng
Banned IPs,Cấm ips.
BEGIN SECURE COMMUNIQUE,Bắt đầu an toàn thông cáo
Black Market,Chợ đen
Bonus reward for those that complete the level.,Phần thưởng thưởng cho những người hoàn thành cấp độ.
Bot,Người máy
Bot added,Bot đã thêm
Bot Reward,Phần thưởng bot.
Botnet,Botnet.
Botnet Command & Control,Lệnh & Kiểm soát Botnet
Botnet Monitor,Màn hình Botnet.
Botnet Scored,Botnet ghi điểm.
Botnets,Botnets.
Bots,Bot.
lab,lab
lab Difficulty,lab khó khăn
lab Hints,gợi ý LAB.
lab Hints Taken,Gợi ý trong lab được thực hiện
lab Name,tên lab.
labes,vu khống.
Bribe,Mua chuộc
Bribe Amount,Số tiền hối lộ
Bribe History,Lịch sử hối lộ
Bribe Pending,Hối lộ đang chờ xử lý.
Bribe Price,Tiền hối lộ
Bribes in Progress,Hối lộ trong tiến trình
Buy,Mua
Buy Source Code,Mua mã nguồn.
Buy Upgrade,Mua nâng cấp.
bytes,byte.
Capture Message,Tin nhắn chụp
Capture Rate,Tốc độ chụp
Captures,Chụp
Case-Sensitive,Phân biệt hoa thường
Cash Stolen,Tiền mặt bị đánh cắp
Categories,Thể loại
Category,Loại
Category lab belongs too?,lab hạng mục cũng thuộc về?
Category Name,tên danh mục
Change,Biến đổi
Change Avatar,Thay đổi avatar.
Characters,Nhân vật
Charts,Biểu đồ
Chat,Trò chuyện
Checksum,Tổng kiểm tra
Choose,Lựa chọn
Choose a name for your new team!,Chọn một tên cho đội mới của bạn!
Choose Avatar,Chọn avatar.
Classic,Kinh điển
Clear,Thông thoáng
Clear all notifications and game history,Xóa tất cả thông báo và lịch sử trò chơi
Clear all team / player flag captures,Xóa tất cả các đội hình đội / người chơi chụp
Clear all team pastebin and file shares,Xóa tất cả các nhóm Pastebin và chia sẻ tệp
Clear market items or source code purchases,Xóa các mục thị trường hoặc mua mã nguồn
Click here to login,Nhấn vào đây để đăng nhập
Close,Đóng
Command & Control,Lệnh & Kiểm soát
Complete,Hoàn chỉnh
Complete Bribe,Hối lộ hoàn toàn
Complete this bribe?,Hoàn thành hối lộ này?
Completed,Hoàn thành
Completed Bribes,Hoàn thành hối lộ
Completion Message,Thông điệp hoàn thành
completion of Level,hoàn thành cấp độ
Completion Reward,Phần thưởng hoàn thành
Configuration,Cấu hình
Confirm,Xác nhận
Confirm Account Password,Xác nhận mật khẩu tài khoản
Confirm New Password,Xác nhận mật khẩu mới
Confirm Password,Xác nhận mật khẩu
Content,Nội dung
Content Missing,Nội dung bị thiếu.
Corporation,tổ chức
Corporation lab belongs too?,Corporation Lab thuộc về quá?
Corporation Name,TÊN CÔNG TY.
Corporations,Tổng công ty.
Cost,Phí tổn
Cost to open this level and see flags,Chi phí để mở cấp độ này và xem flag
Cracked by,Bị nứt bởi
Create,Tạo
Create lab,Tạo lab
Create Category,Tạo thể loại
Create Corporation,Tạo Tổng công ty
Create Datetime Flag,Tạo flag DateTime.
Create File Flag,Tạo flag tập tin
Create Flag,Tạo flag
Create Game Level,Tạo cấp độ trò chơi
Create Hint,Tạo gợi ý
Create Message,Soạn tin nhắn
Create Multiple Choice Flag,Tạo flag nhiều lựa chọn
Create New Paste,Tạo dán mới
Create Notification,Tạo thông báo
Create Regex Flag,Tạo flag regex
Create Static Flag,Tạo flag tĩnh
Create Team,Tạo nhóm
Created,Tạo
Current algorithm,Thuật toán hiện tại
Current Bank Account Password,Mật khẩu tài khoản ngân hàng hiện tại
Current Bank Password,Mật khẩu ngân hàng hiện tại
Current Level,Mức hiện tại
Current Level,Mức hiện tại
CyberChef,Cyberchef.
Data Points,Điểm dữ liệu
Date,Ngày
Datetime Flag,flag DateTime.
Datetime Token,Token DateTime.
DEBUG,Gỡ lỗi.
Decline,Từ chối
Decline Bribe?,Từ chối hối lộ?
Decline this bribe?,Từ chối hối lộ này?
Declined,Suy giảm
Decrease All Captures,Giảm tất cả các nắm bắt
Decrease flag reward by this percent per capture.,Giảm phần thưởng flag bằng phần trăm này mỗi lần chụp.
Decrease flag until it reaches this minimum value.,Giảm flag cho đến khi đạt đến giá trị tối thiểu này.
Decrease Future Captures,Giảm ghi lại trong tương lai
Decreases the flag value for future captures - this method rewards speed of capture.,Giảm giá trị flag cho các ghi lại trong tương lai - phương pháp này phần thưởng tăng tốc độ của Capture.
Decreases the flag value for past and future team captures - this method rewards difficulty.,Giảm giá trị flag cho các lần chụp đội trong quá khứ và trong tương lai - Phương pháp này là phần thưởng khó khăn.
deduct on & after,khấu trừ và sau
defaults to,mặc định cho
Delete,Xóa bỏ
Delete lab,Xóa Lab.
Delete Category,Xóa thể loại
Delete Corporation,Xóa Tổng công ty.
Delete File Upload,Xóa tệp Tải lên
Delete Flag,Xóa flag
Delete Game Level,Xóa cấp độ trò chơi
Delete Hint,Xóa gợi ý
Delete IP Address,Xóa địa chỉ IP
Delete Player,Xóa người chơi
Delete Source Code,Xóa mã nguồn.
Delete Team,Xóa Đội
Delete User,Xóa người dùng
Dependent Flag,flag phụ thuộc
Description,Miêu tả
DESCRIPTION,MIÊU TẢ
Details,Thông tin chi tiết
Difficulty,Sự khó khăn
Difficulty Rating,Khó đánh giá
Disable,Vô hiệu hóa
Disabling this option will skip the story line and give the player an instant capture message.,Vô hiệu hóa tùy chọn này sẽ bỏ qua dòng câu chuyện và cung cấp cho người chơi một tin nhắn chụp tức thời.
Display Hints Taken,Hiển thị gợi ý được thực hiện
Do not delete or modify community flags unless instructed. Do not attack other players unless outlined in the game goals.,Không xóa hoặc sửa đổi flag cộng đồng trừ khi được hướng dẫn. Đừng tấn công những người chơi khác trừ khi được nêu trong mục tiêu trò chơi.
Download,Tải xuống
Download File,Tải tập tin
Download the command line botnet monitor,Tải xuống màn hình Botnet dòng lệnh
Dynamic Decay Type,Loại phân rã động
Dynamic Scoring,Ghi điểm động
Each flag has a submit. The player will choose the flag they intend to capture.,Mỗi flag có một trình. Người chơi sẽ chọn flag họ dự định chụp.
"Each player will target challenges of varying difficulty and sophistication, attempting to collect flags and win glory. Good luck!","Mỗi người chơi sẽ nhắm mục tiêu những thách thức khó khăn và tinh tế, cố gắng thu thập flag và giành được vinh quang. Chúc may mắn!"
Edit,Biên tập
Edit Access,Chỉnh sửa truy cập
Edit Account,Chỉnh sửa tài khoản
Edit lab,Chỉnh sửa lab
Edit Category,Chỉnh sửa Thể loại
Edit Corporation,Chỉnh sửa Tổng công ty.
Edit Flag,Chỉnh sửa flag
Edit Flag,Chỉnh sửa flag
Edit Game Level,Chỉnh sửa cấp độ trò chơi
Edit Hint,Chỉnh sửa Gợi ý
Edit Level,Chỉnh sửa cấp độ
Edit Market Item,Chỉnh sửa mục thị trường
Edit Player,Chỉnh sửa máy nghe nhạc
Edit Team,Chỉnh sửa nhóm
Edit User,Người dùng biên tập
Email,E-mail
EMPTY,TRỐNG
Enable,Cho phép
"Enabling this feature will allow players to create their own teams during registration. If this option is disabled, the admin must create teams for players to join.","Kích hoạt tính năng này sẽ cho phép người chơi tạo các nhóm riêng của họ trong quá trình đăng ký. Nếu tùy chọn này bị vô hiệu hóa, quản trị viên phải tạo các nhóm để người chơi tham gia."
Enabling this feature will allow players to share code (pastebin) and files in-game. Disabling this feature will remove these options from the Tools Menu.,Kích hoạt tính năng này sẽ cho phép người chơi chia sẻ mã (Pastebin) và tệp trong trò chơi. Vô hiệu hóa tính năng này sẽ xóa các tùy chọn này khỏi menu Công cụ.
"Enabling this feature will allow teams to purchase upgrades, such as the Federal Reserve, Source Code Market, or SWAT.","Kích hoạt tính năng này sẽ cho phép các nhóm mua nâng cấp, chẳng hạn như Cục Dự trữ Liên bang, Thị trường mã nguồn hoặc SWAT."
"Enabling this feature will allow the game to display flag or lab capture messages that may be added. By default, the game follows the storyline of Morris, an employer that assigns missions.","Kích hoạt tính năng này sẽ cho phép trò chơi hiển thị flag hoặc tin nhắn chụp lab có thể được thêm vào. Theo mặc định, trò chơi theo cốt truyện của Morris, một chủ nhân giao nhiệm vụ."
"Enabling this feature will apply a penalty for incorrect capture attempts. The penalty is an instant deduction from the score, not a decrease in the flag value.","Kích hoạt tính năng này sẽ áp dụng một hình phạt cho các nỗ lực chụp không chính xác. Hình phạt là một khoản khấu trừ ngay lập tức từ điểm số, không giảm giá trị flag."
"Enabling this feature will decrease the reward for a flag based on the number of captures. If this option is disabled, the flag value remains consistent as other players capture it.","Kích hoạt tính năng này sẽ làm giảm phần thưởng cho một flag dựa trên số lần chụp. Nếu tùy chọn này bị vô hiệu hóa, giá trị flag vẫn phù hợp như những người chơi khác nắm bắt nó."
Enabling this feature will display the number of hints taken on the scoreboard by a team or player. Useful when hints are free. A lower hint count is used for sorting when scores or flags are equal. Disabling this option will remove the hint count from the scoreboard.,Kích hoạt tính năng này sẽ hiển thị số lượng gợi ý được thực hiện trên bảng điểm bởi một nhóm hoặc người chơi. Hữu ích khi Gợi ý là miễn phí. Số lượng gợi ý thấp hơn được sử dụng để sắp xếp khi điểm hoặc flag bằng nhau. Vô hiệu hóa tùy chọn này sẽ xóa đếm Gợi ý khỏi bảng điểm.
"Enabling this feature will display the player MVP scoreboard. Any player that has contributed points to the team will be displayed. If this option is disabled, the MVP Scoreboard will be hidden.","Kích hoạt tính năng này sẽ hiển thị bảng điểm MVP của người chơi. Bất kỳ người chơi nào đã đóng góp điểm cho nhóm sẽ được hiển thị. Nếu tùy chọn này bị vô hiệu hóa, bảng điểm MVP sẽ bị ẩn."
Enabling this feature will require players to provide a valid registration token in order to create a new account. Registration tokens are created in the admin interface.,Kích hoạt tính năng này sẽ yêu cầu người chơi cung cấp mã thông báo đăng ký hợp lệ để tạo tài khoản mới. Token đăng ký được tạo trong giao diện quản trị.
Enabling this feature will require players to provide an email address in order to create a new account.,Kích hoạt tính năng này sẽ yêu cầu người chơi cung cấp địa chỉ email để tạo tài khoản mới.
Enabling this feature will send flag and level unlock notifications to all players in the game. Disabling this option will limit those notifications to team members.,Kích hoạt tính năng này sẽ gửi thông báo mở khóa flag và mở khóa cho tất cả người chơi trong trò chơi. Vô hiệu hóa tùy chọn này sẽ giới hạn các thông báo cho các thành viên trong nhóm.
"Enabling this feature will set the game and scoreboard up for team competitive play. If this option is disabled, the game is set up for individual competitive play.","Kích hoạt tính năng này sẽ thiết lập trò chơi và điểm số để chơi cạnh tranh của đội. Nếu tùy chọn này bị vô hiệu hóa, trò chơi được thiết lập để chơi cạnh tranh cá nhân."
"Enabling this feature will set the game to use a money based scoring system. If this option is disabled, the game uses a points based scoring system.","Kích hoạt tính năng này sẽ thiết lập trò chơi để sử dụng hệ thống ghi điểm dựa trên tiền. Nếu tùy chọn này bị vô hiệu hóa, trò chơi sử dụng hệ thống ghi điểm dựa trên điểm."
"Enabling this option will set the token to be case sensitive. If this option is disabled, the answer token is case-insensitive.","Kích hoạt tùy chọn này sẽ đặt mã thông báo thành trường hợp nhạy cảm. Nếu tùy chọn này bị vô hiệu hóa, mã thông báo câu trả lời là không phân biệt chữ hoa chữ thường."
"Enabling this option will set the token to be case senstive. If this option is disabled, the answer token is case-insenstive.","Kích hoạt tùy chọn này sẽ đặt mã thông báo thành trường hợp Senstive. Nếu tùy chọn này bị vô hiệu hóa, mã thông báo câu trả lời là Case-Insenstive."
Enabling this setting activates the botnet features. Teams can run their bot executables on labes they pwn and are paid for each bot over time.,Kích hoạt cài đặt này kích hoạt các tính năng Botnet. Các nhóm có thể chạy các tệp thực thi BOT của họ trên các LABES mà họ PWN và được trả cho mỗi bot theo thời gian.
END SECURE COMMUNIQUE,End an toàn thông cáo
Enter a complex password of,Nhập mật khẩu phức tạp của
Enter a Matching Flag,Nhập một flag phù hợp
Enter Choice,Nhập sự lựa chọn
Enter the same password as before,Nhập cùng một mật khẩu như trước
ERROR,LỖI
Expire,Hết hiệu lực
Export Game Objects,Đối tượng xuất khẩu trò chơi
Export of gameplay settings does not include the entire server and database configuration.,Xuất cài đặt Gameplay không bao gồm toàn bộ cấu hình máy chủ và cơ sở dữ liệu.
Export XML,Xuất XML.
Export XML,Xuất XML.
Failed Attempts,Nỗ lực không thành
Failed Logins,Đăng nhập thất bại.
Failure has a cost. Be careful as penalties are applied when incorrect answers are submitted.,Thất bại có một chi phí. Hãy cẩn thận vì hình phạt được áp dụng khi câu trả lời không chính xác được gửi.
Federal Reserve,Dự trữ Liên bang
Federal Reserve Bank,Ngân hàng Dự trữ Liên bang
File,Tập tin
File Description,Mô tả tập tin
File Flag,flag tập tin
File Name,Tên tập tin.
File Share,Chia sẻ tệp
File Sharing,Chia sẻ file
File Size,Kích thước tập tin
First Login,Đăng nhập đầu tiên
Flag,flag
Flag Capture,flag Chụp
Flag Decrease Value,flag giảm giá trị
Flag Details,Chi tiết flag
Flag File,flag tập tin
Flag Hints,Gợi ý flag
Flag Minimum Value,flag giá trị tối thiểu
Flag Name,Tên flag
Flag Penalty,flag phạt
Flag Penalty % Cost,flag phạt% chi phí
Flag Penalty Cost,flag đóng phạt chi phí
Flag Penalty Start,flag bắt đầu
Flag Penalty Stop,flag phạt dừng
Flag Submission Type,flag gửi loại
Flag Type,flag loại
Flags,flag
Flags / labes / Corp.,flag / Bland / Corp
Flags Captured,flag bị bắt
Flags on,flag trên
for,vì
Forbidden,Cấm
Game,Trò chơi
Game Control,Điều khiển trò chơi
Game Information,Thông tin trò chơi
Game Level,Cấp độ trò chơi
Game Levels,Cấp độ trò chơi
Game Management,Quản lý trò chơi
Game Materials,Tài liệu trò chơi
Game Name,Tên của trò chơi
Game Progress,Tiến độ trò chơi
Garbage File,Tệp rác
Get help with,Nhận trợ giúp với.
Get your registration token from reception,Nhận mã thông báo đăng ký của bạn từ Lễ tân
Glitch in the Matrix,Trục trặc trong ma trận
Global Notifications,Thông báo toàn cầu
Handle,Tài khoản
Hide scoreboard during countdown,Ẩn bảng điểm trong lúc đếm ngược
Hint,Dấu
Hint not yet taken,Gợi ý chưa được thực hiện
Hint Taken,Gợi ý thực hiện
Hints,HINTS.
Hints on,Gợi ý về
Hints Taken,Gợi ý thực hiện
History,Môn lịch sử
Home,Trang chủ
How should the next level unlock?,Làm thế nào nên mở khóa cấp độ tiếp theo?
I accept the,Tôi chấp nhận
"If the flag selection is left empty, the hint will be considered a lab Hint.","Nếu lựa chọn flag bị bỏ trống, gợi ý sẽ được coi là một gợi ý trong lab."
"If this option is disabled, there is no cost for submitting incorrect flags.","Nếu tùy chọn này bị vô hiệu hóa, sẽ không có chi phí để gửi flag không chính xác."
Import File,Nhập tệp
Import XML,Nhập XML.
Import XML,Nhập XML.
In Progress,Trong tiến trình
"In this case, the flag is a Date / Time string. This flag type will try to match on common datetime format variations and deal with differences like slashes, dashes, padding, 12hr, 24hr, etc. It can handle a date, time, or a datetime.","Trong trường hợp này, flag là chuỗi ngày / giờ. Loại flag này sẽ cố gắng khớp với các biến thể định dạng DateTime phổ biến và đối phó với sự khác biệt như dấu gạch chéo, dấu gạch ngang, đệm, 12 giờ, 24 giờ, v.v. Nó có thể xử lý một ngày, giờ hoặc một datetime."
"In this case, the flag is a multiple choice question where the selected option is the token.","Trong trường hợp này, flag là một câu hỏi trắc nghiệm nơi tùy chọn đã chọn là mã thông báo."
"In this case, the flag is a regular expression. The user must submit the a string which matches the pattern to capture the flag. Matches can be insensitive. Please be sure to test your regex, and ensure its not too broad.","Trong trường hợp này, flag là một biểu thức thông thường. Người dùng phải gửi một chuỗi khớp với mẫu để chụp flag. Trận đấu có thể không nhạy cảm. Hãy chắc chắn kiểm tra regex của bạn và đảm bảo nó không quá rộng."
"In this case, the flag is a static string. The user must submit the exact token to capture the flag. Whitespace at the beginning and end are stripped.","Trong trường hợp này, flag là một chuỗi tĩnh. Người dùng phải nộp mã thông báo chính xác để chụp flag. Khoảng trắng ở đầu và cuối bị tước."
Include gameplay settings (such as those under,Bao gồm cài đặt chơi trò chơi (chẳng hạn như các cài đặt bên dưới
Income,Thu nhập
Incoming Transmission,Truyền đến
Incorrect,Không đúng
Incorrect Penalty,Hình phạt không chính xác
indicates use by another player,Cho biết sử dụng bởi người chơi khác
INFO,THÔNG TIN
Information,Thông tin
Invalid CSRF Token,Token CSRF không hợp lệ
IP Address,Địa chỉ IP
IP Version,Phiên bản IP.
It appears you're an unsophisticated script kiddie!,Có vẻ như bạn là một kịch bản script không tinh vi!
"It can be visible to all visitors (public), to authenticated users (players), or only to administrators (admins).","Nó có thể hiển thị cho tất cả khách truy cập (công khai), để người dùng xác thực (người chơi) hoặc chỉ với quản trị viên (Quản trị viên)."
"It looks like you typed a URL incorrectly, or were attempting to find something you ought not have access to.",Có vẻ như bạn đã gõ một URL không chính xác hoặc đang cố gắng tìm thứ gì đó bạn không nên có quyền truy cập.
